,overall_r2,overall_r2,overall_rmse,overall_rmse,overall_mae,overall_mae,obs_zeros,obs_zeros,pred_zeros,pred_zeros,obs_ones,obs_ones,pred_ones,pred_ones,continuous_r2,continuous_r2,continuous_rmse,continuous_rmse
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_type,,,,,,,,,,,,,,,,,,
exponential,0.49298628385,0.04876596257222783,0.11961561692,0.010054467968539855,0.06307003382000001,0.0039138242852654916,0.27181274900999997,0.013636489282969766,0.27279755323,0.013595119139383893,0.00713147416,0.002729427822969595,0.00800989725,0.0026983802419178575,0.7542709170199999,0.015580386144662834,0.08211278680999999,0.0026978194937526483
gaussian,0.43363205945,0.04213405669971805,0.12646067617,0.00959582514037467,0.07092868902,0.0040911468071101725,0.27181274900999997,0.013636489282969766,0.27293595496,0.013549074465131296,0.00713147416,0.002729427822969595,0.00799435882,0.002676735157063271,0.6482591220499999,0.015033218294422812,0.09829061388999999,0.0031097473148870365
power_law,0.53246691018,0.05432820275845919,0.11481841724000001,0.010583105769589736,0.05682016999,0.0037296824020661506,0.27181274900999997,0.013636489282969766,0.27259247139,0.013563715996456744,0.00713147416,0.002729427822969595,0.00800175211,0.002685750749736998,0.8263842763,0.013049743414527032,0.06899717242,0.0023546945689176587
