,overall_r2,overall_r2,overall_rmse,overall_rmse,overall_mae,overall_mae,obs_zeros,obs_zeros,pred_zeros,pred_zeros,obs_ones,obs_ones,pred_ones,pred_ones,continuous_r2,continuous_r2,continuous_rmse,continuous_rmse
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_type,,,,,,,,,,,,,,,,,,
exponential,0.42475931774000003,0.03619387698573249,0.14381766798999998,0.007119699112050727,0.09682631927999999,0.0029279470642302585,0.2389741036,0.011889360019780061,0.23995984404,0.011893610108846321,0.00771912346,0.0025692653857943945,0.00857925205,0.0025335174262528562,0.66553413902,0.018424362642715873,0.09988377562,0.002615267724059302
gaussian,0.40385194844,0.034092292532219744,0.14641991795,0.006971094268694915,0.09974445698,0.002963669901867693,0.2389741036,0.011889360019780061,0.23997646793000002,0.011849469371651773,0.00771912346,0.0025692653857943945,0.00858042266,0.0025278763181230124,0.63110448305,0.018033445765702913,0.10491456746000001,0.002705261410718757
power_law,0.44282403958000005,0.03935566371747134,0.14152368554,0.007379428002379828,0.09451096617999999,0.002997404575952226,0.2389741036,0.011889360019780061,0.2399288885,0.011862348602551458,0.00771912346,0.0025692653857943945,0.00858717011,0.0025257047204445605,0.6910145033,0.018841867544263688,0.09599035393,0.0026340115765144966
